Date,Header,Description,Category,URLS
02 May 2020,White House blocks Fauci from testifying to Congress on coronavirus response,"[WASHINGTON] Top US health official Anthony Fauci will not testify next week to a congressional committee examining the Trump administration's response to the coronavirus pandemic, the White House said on Friday, calling it ""counterproductive"" to have individuals involved in the response testify.
",government-economy,https://www.businesstimes.com.sg/government-economy/white-house-blocks-fauci-from-testifying-to-congress-on-coronavirus-response
02 May 2020,"Trump now says he hopes US coronavirus deaths less than 100,000","[WASHINGTON] President Donald Trump on Friday seemingly increased his estimate of possible deaths in the United States from the coronavirus, telling a White House event he hopes for less than 100,000 fatalities, a higher upper limit than the 60,000 to 70,000 deaths he discussed on Monday.
",government-economy,https://www.businesstimes.com.sg/government-economy/trump-now-says-he-hopes-us-coronavirus-deaths-less-than-100000
02 May 2020,Millions had risen out of poverty. Coronavirus is pulling them back,"LIKE thousands of women across South Asia, Shahida Khatun dropped out of school to work in the garment factories that were springing up in Bangladesh's cities, hoping to pull her family out of poverty.
",government-economy,https://www.businesstimes.com.sg/government-economy/millions-had-risen-out-of-poverty-coronavirus-is-pulling-them-back
01 May 2020,"932 new coronavirus cases in Singapore on Friday, as total crosses 17,000","[SINGAPORE] There are 932 new Covid-19 cases in Singapore, taking the total count to 17,101, said the Ministry of Health (MOH) on Friday.",government-economy,https://www.businesstimes.com.sg/government-economy/932-new-coronavirus-cases-in-singapore-on-friday-as-total-crosses-17000
01 May 2020,Macau's April gaming revenues plunge 96.8% on coronavirus impact,"[HONG KONG] Gambling revenue in Macau plunged 96.8 per cent in April year-on-year, with casinos reeling in the world's biggest casino hub as authorities imposed a raft of measures to keep visitors away to contain the coronavirus outbreak.
",consumer,https://www.businesstimes.com.sg/consumer/macaus-april-gaming-revenues-plunge-968-on-coronavirus-impact
01 May 2020,"More than 2,000 US coronavirus deaths in 24 hours: tracker","[WASHINGTON] The United States recorded more than 2,000 coronavirus deaths in a 24-hour period for the third day running, according to the latest real-time tally on Thursday reported by Johns Hopkins University.
",government-economy,https://www.businesstimes.com.sg/government-economy/more-than-2000-us-coronavirus-deaths-in-24-hours-tracker
01 May 2020,UK 'past peak' of coronavirus outbreak: PM Johnson,"[LONDON] Britain is ""past the peak"" of its coronavirus outbreak, Prime Minister Boris Johnson said on Thursday, despite recording another 674 deaths in the last 24 hours.
",government-economy,https://www.businesstimes.com.sg/government-economy/uk-past-peak-of-coronavirus-outbreak-pm-johnson
01 May 2020,"Japan's March factory output, retail sales drop as novel coronavirus hits economy","JAPAN'S March factory output fell at the fastest pace in five months, while retail sales also dropped as businesses struggled with the Covid-19 pandemic's sharp hit to overseas and domestic demand.
",government-economy,https://www.businesstimes.com.sg/government-economy/japans-march-factory-output-retail-sales-drop-as-novel-coronavirus-hits-economy
01 May 2020,Creativity in the Time of Coronavirus,"Do you have a family member who refuses to stay home and you are tired of nagging them to? Local design firm Stuck, has designed a series of doorknob hangers reminding people not to leave their homes unnecessarily.
",lifestyle,https://www.businesstimes.com.sg/lifestyle/design/creativity-in-the-time-of-coronavirus
30 Apr 2020,"Finance, tech firms on hiring spree amid coronavirus turmoil: LinkedIn","[LONDON] The coronavirus is roiling global job markets, but the picture is not all gloomy. Finance, technology and consumer goods firms are hiring tens of thousands in the US and other countries, according to data from Microsoft Corp's professional networking site LinkedIn.
",government-economy,https://www.businesstimes.com.sg/government-economy/finance-tech-firms-on-hiring-spree-amid-coronavirus-turmoil-linkedin
